processid	sampleid	recordID	catalognum	fieldnum	institution_storing	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	voucher_type	tissue_type	collectors	collectiondate	lifestage	sex	reproduction	extrainfo	notes	lat	lon	coord_source	coord_accuracy	country	province	region	exactsite	image_ids	image_urls	copyright_licenses	trace_ids	trace_links	run_dates	sequencing_centers	directions	seq_primers	marker_codes
ASARD2708-12	INB0004184610	2396910	INB0004184610	INB0004184610	Instituto Nacional de Biodiversidad, Costa Rica	BOLD:AAB3197	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3775	Limenitidinae	3700	Adelpha	21155	Adelpha tracta	 	 	Isidro Chacon	 	 	M. Moraga, J. Azofeifa, M. Zumbado, B. Hernandez	2008-12-04	A	M	S	 	 	9.891	-83.971	 	 	Costa Rica	Cartago	La Union	Cerro Carpintera. Campo Escuela Istaru	1502437|1502436	http://v3.boldsystems.org/pics/ASARD/INB0004184610-IACH002376+1327951322.jpg|http://v3.boldsystems.org/pics/ASARD/INB0004184610-IACH002375+1327951322.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike|CreativeCommons - Attribution Non-Commercial Share-Alike	3746709|3746665	http://trace.boldsystems.org/traceIO/bold.org/5629244|http://trace.boldsystems.org/traceIO/bold.org/5629200	2012-02-04 02:12:33|2012-02-04 00:46:50	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
BLPBD016-07	07-SRNP-100015	622532	 	07-SRNP-100015	Area de Conservacion Guanacaste	BOLD:AAA5411	20	Arthropoda	82	Insecta	113	Lepidoptera	723	Nymphalidae	3775	Limenitidinae	3700	Adelpha	19718	Adelpha melanthe	 	 	Daniel H. Janzen	 	 	J.D.Turner&N.Turner	2007-02-04	A	 	S	net	net	10.88	-85.389	 	 	Costa Rica	Alajuela	Area de Conservacion Guanacaste	Estacion San Gerardo	221298	http://v3.boldsystems.org/pics/BLPBD/07-SRNP-100015_DHJ609979+1173108408.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	748745|748933	http://trace.boldsystems.org/traceIO/bold.org/537730|http://trace.boldsystems.org/traceIO/bold.org/537918	2007-09-05 08:45:43|2007-09-04 14:33:50	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	LepR1|LepF1	COI-5P|COI-5P
COLFB561-12	ZMUO.001036	2478520	ZMUO.001036	 	University of Oulu, Zoological Museum	BOLD:AAJ7363	20	Arthropoda	82	Insecta	413	Coleoptera	1168	Dytiscidae	305157	Agabinae	55407	Agabus	169027	Agabus bipustulatus	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2011-10-08	adult	 	S	 	 	60.012	20.1861	 	 	Finland	Aland Islands	Alandia	Bathusfjaerden	1548702	http://v3.boldsystems.org/pics/COLFB/ZMUO.001036+1329417322.JPG	CreativeCommons - Attribution Non-Commercial	4020423|4020328	http://trace.boldsystems.org/traceIO/bold.org/5782598|http://trace.boldsystems.org/traceIO/bold.org/5782503	2012-04-21 01:51:20|2012-04-21 00:24:54	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
COLFE762-13	ZMUO.005607	3072666	ZMUO.005607	 	University of Oulu, Zoological Museum	BOLD:AAO3378	20	Arthropoda	82	Insecta	413	Coleoptera	948	Carabidae	2933	Harpalinae	24742	Agonum	317897	Agonum emarginatum	 	 	Mikko Pentinsaari	 	 	Mikko Pentinsaari	2012-07-05	adult	 	S	 	 	60.012	20.186	 	 	Finland	Aland Islands	Alandia	Bathusfjaerden	1883692	http://v3.boldsystems.org/pics/COLFE/ZMUO.005607+1359124122.JPG	CreativeCommons - Attribution Non-Commercial	4944321|4944226	http://trace.boldsystems.org/traceIO/bold.org/6790919|http://trace.boldsystems.org/traceIO/bold.org/6790824	2013-04-04 14:15:22|2013-04-02 21:30:44	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	C_LepFolF|C_LepFolR	COI-5P|COI-5P
EBCCH150-11	BIOUG01004-E07	2020219	BIOUG01004-E07	L#10PROBE-9118	Centre for Biodiversity Genomics	BOLD:AAB4638	20	Arthropoda	82	Insecta	413	Coleoptera	1168	Dytiscidae	305157	Agabinae	55407	Agabus	55416	Agabus infuscatus	 	 	Elizabeth Boyle	museum vouchered	 	E.Boyle	2010-08-04	A	 	 	BLFA-P#34-3	Sub: Rock and mud: Veg: Lots of algae: Depth: 37cm	58.772	-93.8436	 	 	Canada	Manitoba	Churchill	Pond #34	1172673	http://v3.boldsystems.org/pics/EBCCH/IMG_2392+1308326998.JPG	CreativeCommons - Attribution	3170542|3170541	http://trace.boldsystems.org/traceIO/bold.org/2834498|http://trace.boldsystems.org/traceIO/bold.org/2834497	2011-07-05 18:01:25|2011-07-05 16:35:07	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
ENTJR074-08	TMEN008-002	725467	 	TMEN008-002	Mahidol University, Dept of Medical Entomology	BOLD:AEI9358	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	14137	Aedes aegypti	 	 	Yudthana Samung	 	 	Yudthana Samung	2007-07-12	A	F	S	 	 	14.61	100.36	 	 	Thailand	Ang Thong	Central	Inside house	261703	http://v3.boldsystems.org/pics/ENTJR/tmen008-002+1204298812.JPG	CreativeCommons - Attribution	876642|876736	http://trace.boldsystems.org/traceIO/bold.org/655976|http://trace.boldsystems.org/traceIO/bold.org/656070	2008-02-26 14:46:54|2008-02-25 12:07:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
ENTJR077-08	TMEN008-005	725470	 	TMEN008-005	Mahidol University, Dept of Medical Entomology	BOLD:AEI9358	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	14137	Aedes aegypti	 	 	Yudthana Samung	 	 	Yudthana Samung	2007-07-12	A	F	S	 	 	14.61	100.36	 	 	Thailand	Ang Thong	Central	Inside house	261706	http://v3.boldsystems.org/pics/ENTJR/tmen008-005+1203607904.JPG	CreativeCommons - Attribution	876639|876733	http://trace.boldsystems.org/traceIO/bold.org/655973|http://trace.boldsystems.org/traceIO/bold.org/656067	2008-02-26 14:46:54|2008-02-25 12:07:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
ENTJR082-08	TMEN008-010	725475	 	TMEN008-010	Mahidol University, Dept of Medical Entomology	BOLD:AEI9358	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	14137	Aedes aegypti	 	 	Yudthana Samung	 	 	Yudthana Samung	2007-07-12	A	F	S	 	 	14.61	100.36	 	 	Thailand	Ang Thong	Central	Inside house	261711	http://v3.boldsystems.org/pics/ENTJR/tmen008-010+1204298864.JPG	CreativeCommons - Attribution	876634|876728	http://trace.boldsystems.org/traceIO/bold.org/655968|http://trace.boldsystems.org/traceIO/bold.org/656062	2008-02-26 14:46:54|2008-02-25 12:07:12	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
ENTJR109-08	TMEN011-007	725502	 	TMEN011-007	Mahidol University, Dept of Medical Entomology	BOLD:AEI9358	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	14137	Aedes aegypti	 	 	Yudthana Samung	 	 	Yudthana Samung	2007-12-26	A	F	S	 	 	13.81	102.06	 	 	Thailand	Prachin Buri	Eastern	Inside house	261738	http://v3.boldsystems.org/pics/ENTJR/tmen011-007+1203610578.JPG	CreativeCommons - Attribution	876889|876983	http://trace.boldsystems.org/traceIO/bold.org/656223|http://trace.boldsystems.org/traceIO/bold.org/656317	2008-02-25 10:18:52|2008-02-26 16:34:01	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
ENTJR122-08	TMEN012-010	725515	 	TMEN012-010	Mahidol University, Dept of Medical Entomology	BOLD:AEI9358	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	14137	Aedes aegypti	 	 	Yudthana Samung	 	 	Karuna	 	A	F	S	 	from captive colony	17.96	102.6	 	 	Laos	Vientiane	 	Inside house	261751	http://v3.boldsystems.org/pics/ENTJR/tmen012-010+1203610580.JPG	CreativeCommons - Attribution	876876|876970	http://trace.boldsystems.org/traceIO/bold.org/656210|http://trace.boldsystems.org/traceIO/bold.org/656304	2008-02-25 10:18:52|2008-02-26 16:34:01	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
ENTJR147-08	TMEN015-005	725540	 	TMEN015-005	Mahidol University, Dept of Medical Entomology	BOLD:AAA5870	20	Arthropoda	82	Insecta	127	Diptera	1730	Culicidae	2142	Culicinae	6438	Aedes	24536	Aedes albopictus	 	 	Yudthana Samung	 	 	Yudthana Samung	2007-11-26	A	F	S	 	 	8.25	98.66	 	 	Thailand	Phangnga	Southern	Garden	261776	http://v3.boldsystems.org/pics/ENTJR/tmen015-005+1203613888.JPG	CreativeCommons - Attribution	876851|876945	http://trace.boldsystems.org/traceIO/bold.org/656185|http://trace.boldsystems.org/traceIO/bold.org/656279	2008-02-25 10:18:52|2008-02-26 16:34:01	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	LepF1|LepR1	COI-5P|COI-5P
FBCOD196-11	BC ZSM COLA 00671	2056675	BC ZSM COLA 00671	 	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAY8849	20	Arthropoda	82	Insecta	413	Coleoptera	1168	Dytiscidae	305157	Agabinae	55407	Agabus	329738	Agabus uliginosus	 	 	Lars Hendrich	 	 	L. Hendrich	2011-05-28	A	 	 	 	 	53.4465	12.7313	 	 	Germany	Mecklenburg-Vorpommern	Mueritz Nationalpark	Spuklochkoppel	1241624	http://v3.boldsystems.org/pics/FBCOD/BC_ZSM_COLA_00671+1312296042.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	3235900|3235805	http://trace.boldsystems.org/traceIO/bold.org/2898584|http://trace.boldsystems.org/traceIO/bold.org/2898489	2011-07-27 05:20:23|2011-07-27 03:54:47	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	R|F	C_LepFolR|C_LepFolF	COI-5P|COI-5P
GBCOU498-13	GBOL00976	3500841	GBOL00976	GBOL00976	SNSB, Zoologische Staatssammlung Muenchen	BOLD:AAY8849	20	Arthropoda	82	Insecta	413	Coleoptera	1168	Dytiscidae	305157	Agabinae	55407	Agabus	329738	Agabus uliginosus	 	 	Lars Hendrich	 	 	L. Hendrich	2013-06-14	a	 	S	 	 	52.4061	13.2792	 	 	Germany	Brandenburg	 	Teltow, Graben	2098005	http://v3.boldsystems.org/pics/GBCOU/GBOL00976+1371747068.jpg	CreativeCommons - Attribution Non-Commercial Share-Alike	5506058|5505963	http://trace.boldsystems.org/traceIO/bold.org/7352585|http://trace.boldsystems.org/traceIO/bold.org/7352490	2013-09-19 17:32:25|2013-09-19 13:16:58	Centre for Biodiversity Genomics|Centre for Biodiversity Genomics	F|R	C_LepFolF|C_LepFolR	COI-5P|COI-5P
